kernel_size	npp_time	cuda_time
3	0.0142331	7.4466e-05
3	0.0136835	7.6119e-05
3	0.0134038	7.7362e-05
3	0.0124588	8.3543e-05
3	0.0127027	0.000101456
3	0.0132106	9.0244e-05
3	0.0132774	7.8265e-05
3	0.0145809	8.3873e-05
3	0.0192933	0.000104923
3	0.0191698	9.4045e-05
3	0.0144644	7.8265e-05
3	0.0141502	0.000119069
3	0.0145985	0.000117743
3	0.0158032	0.000116229
3	0.0182395	0.000143683
3	0.0173353	0.000124464
3	0.0217024	0.000150397
3	0.0159882	0.000119796
3	0.0151248	0.000110287
3	0.0132546	0.000131542
3	0.0132865	0.000164323
3	0.0139035	0.000100839
3	0.0134567	0.000176059
3	0.0144805	9.983e-05
3	0.0134717	0.000107345
3	0.0145051	0.000101606
3	0.012545	0.000101838
3	0.0146535	0.000107059
3	0.0149803	0.00010018
3	0.0132837	0.000151789
3	0.0132739	0.000131982
3	0.0132038	0.00010474
3	0.0126052	0.000308103
3	0.0132381	0.000108585
3	0.0136804	0.00010903
3	0.0138894	0.000104345
3	0.0135165	9.8904e-05
3	0.0132705	0.000176027
5	0.01363	6.9635e-05
5	0.0124073	7.968e-05
5	0.0122388	5.7116e-05
5	0.013243	7.4476e-05
5	0.0142739	7.2196e-05
5	0.0135244	6.9853e-05
5	0.0126803	0.000102718
5	0.0129791	5.8793e-05
5	0.0215177	0.000107829
5	0.0134205	0.000100316
5	0.0130579	8.9349e-05
5	0.013758	7.1452e-05
5	0.0124797	0.000170217
5	0.0124799	9.4457e-05
5	0.0144079	9.851e-05
5	0.0132768	0.000104527
5	0.0138953	0.000101949
5	0.013262	0.000151139
5	0.0148955	0.000128133
5	0.0147689	0.000145283
5	0.0134438	0.000155305
5	0.0143208	9.2391e-05
5	0.0140591	9.6602e-05
5	0.0141363	0.000153372
5	0.0148162	9.6295e-05
5	0.0134605	9.2734e-05
5	0.0137294	0.000100034
5	0.0127472	0.000103762
5	0.014218	9.3971e-05
5	0.0139896	9.6486e-05
5	0.0129394	0.000109501
5	0.0152847	0.000106694
5	0.0123197	0.000122347
5	0.0146703	9.4359e-05
5	0.0129289	0.000122355
5	0.0141609	0.000143215
5	0.0122535	0.000156154
5	0.0130618	0.000208767
7	0.0143975	6.9533e-05
7	0.0131648	8.0808e-05
7	0.0138343	7.0096e-05
7	0.0145641	9.3784e-05
7	0.0136767	0.000115579
7	0.0124386	5.7267e-05
7	0.0146705	8.8779e-05
7	0.0141644	8.4233e-05
7	0.0125735	7.3014e-05
7	0.0132972	5.929e-05
7	0.0132166	6.1695e-05
7	0.0124048	6.2457e-05
7	0.0130475	0.00010685
7	0.0137472	0.000110937
7	0.0151312	0.000122774
7	0.0141894	0.000113101
7	0.013369	0.000104627
7	0.0134726	9.5194e-05
7	0.0146358	0.000101909
7	0.0151568	0.000100895
7	0.0138107	0.000123581
7	0.0140356	0.000108308
7	0.0139993	0.00010676
7	0.0133176	0.000110927
7	0.013066	0.00010062
7	0.0137889	0.000101997
7	0.0134264	0.000149475
7	0.0132499	0.000101936
7	0.012434	0.000102394
7	0.013969	0.000113868
7	0.0124293	0.000107798
7	0.0136888	0.000100125
7	0.0216556	0.000137789
7	0.0128023	0.000125687
7	0.0139425	0.000123957
7	0.0136506	0.00010121
7	0.0140012	0.000164271
7	0.0137612	0.000105628
